x,y
0.0,7.0
0.3157894736842105,1.7403718510447281
0.631578947368421,0.10502528372250064
0.9473684210526315,0.751429163373516
1.263157894736842,2.5757245570552705
1.5789473684210527,4.712724733542561
1.894736842105263,6.535915163327475
2.2105263157894735,7.657453518619407
2.526315789473684,7.92816967334505
2.8421052631578947,7.43756570314838
3.1578947368421053,6.513815885390688
3.4736842105263155,5.723766699150568
3.789473684210526,5.872936825223881
4.105263157894736,8.00551714612379
4.421052631578947,13.40437074608083
4.7368421052631575,23.59103291104271
5.052631578947368,40.32571112867458
5.368421052631579,65.60728508835876
5.684210526315789,101.6733066811949
6.0,151.0
